Location,Supply Source,Item #,Name,Qty. On Hand,Par Level,Min Level,Reorder Qty,Custom #, Bin #, Price, GL #, Pack Count, Custom 1, Custom 2, Custom 3, Ext. Price
Sumner Vault,MEDOSWEET,I016,EggsLiquid_Willamette_40lb/cs Item#1159,0,0,0,0,INGREDIENT,,20.89,,1,,,,0
Sumner Vault,MEDOSWEET,I017,EggsLiquid_Stiebrs_30lb/cs,120,0,0,0,INGREDIENT,,20.89,,1,,,,2506.8
Sumner Vault,MEDOSWEET,I018,Buttermilk_CountyMorningFarms _5ga/bg_45pp,113,0,0,0,INGREDIENT,,17.12,,1,,,,1934.56
Sumner Vault,MEDOSWEET,I019,Buttermilk_SmithBrotherFarms _5ga/bg_45pp,0,0,0,0,INGREDIENT,,17.12,,1,,,,0
Sumner Vault,PETERSON,I020,Sourcream_Daisy_27lb/cs_84pp Item#IDA645,130,0,0,0,INGREDIENT,,38.15,,1,,,,4959.5
Sumner Vault,MEDOSWEET,I021,ButterUnsalted_Darigold_55lb/cs Item#2235,21,0,0,0,INGREDIENT,,140.14,,1,,,,2942.94
Sumner Vault,MEDOSWEET,I022,HeavyCream_Medosweet_5ga/cs Item#801,0,0,0,0,INGREDIENT,,94.09,,1,,,,0
Sumner Vault,DAWN FOODS INC,I023,BlueberryFrozen_DawnFoods _30lb/cs Item#760357,0,0,0,0,INGREDIENT,,86.64,,1,,,,0
Sumner Vault,DAWN FOODS INC,I024,RaspberryFrozen_DawnFoods _25lb/bx Item#215251,0,0,0,0,INGREDIENT,,128.88,,1,,,,0
Sumner Vault,PETERSON,I025,DoblaMistral_Dobla _1085pc/cs Item#27630,111,0,0,0,INGREDIENT,,50.31,,1,,,,5584.41
Sumner Vault,PETERSON,I026,DoblaForestShaving_Dobla _2850pc/cs Item#25811,11,0,0,0,INGREDIENT,,465.05,,1,,,,5115.55
Sumner Vault,PETERSON,I027,DoblaTwister_Dobla _18900pc/cs Item#25820,3,0,0,0,INGREDIENT,,329.47,,1,,,,988.41
Sumner Vault,MAVERICK OIL,I028,CanolaOil_Gemsa _35lb/jg_60pp,240,0,0,0,INGREDIENT,,47.25,,1,,,,11340
Sumner Vault,SA MILLIGAN,I031,CinnamonGround_SonHaSpice _25lb/cs,27,0,0,0,INGREDIENT,,102.5,,1,,,,2767.5
Sumner Vault,FLAVORCHEM,I032,Cinnamon_Flavorchem _55ga/dr_4pp Item#25.998,0,0,0,0,INGREDIENT,,77.97,,1,,,,0
Sumner Vault,RIA DISTRIBUTION,I033,VanillaExtract_RiaDistribution _55ga/dr_4pp,4,0,0,0,INGREDIENT,,2538.75,,1,,,,10155
Sumner Vault,COSTCO,I034,SugarInTheRaw_Costco_ 6lb/bg_210pp Item#317946,295,0,0,0,INGREDIENT,,7.99,,1,,,,2357.05
Sumner Vault,BAKE MARK,I035,SugarCrystal_C&H _25lb/bg_84pp Item#9485,168,0,0,0,INGREDIENT,,35.9,,1,,,,6031.2
Sumner Vault,INTERNATIONAL FOOD PRODUCTS,I037,ChocolateChips_BarryChallebaut _44lb/bg Item#203015,6,0,0,0,INGREDIENT,,129.62,,1,,,,777.72
Sumner Vault,BAYCO,I038,ChocolateChips_Unigra _50lb/bg Item#4032,450,0,0,0,INGREDIENT,,130,,1,,,,58500
Sumner Vault,SA MILLIGAN,I039,Nutmeg_PacificSpiceCompany _25lb/cs Item#747001-950,0,0,0,0,INGREDIENT,,500,,1,,,,0
Sumner Vault,SA MILLIGAN,I040,Cloves_PacificSpiceCompany _25lb/cs Item#729001-950,0,0,0,0,INGREDIENT,,375,,1,,,,0
Sumner Vault,FOOD GUYS,I042,GFRolledOats_Inmolsia _50lb/bg Item#FT.I.HI,0,0,0,0,INGREDIENT,,1.21,,1,,,,0
